datetime,cumulative_balance
2020-01-20 12:00:00,-1524916
2020-01-20 13:00:00,-1529912
2020-01-20 14:00:00,-1534603
2020-01-20 15:00:00,-1539777
2020-01-20 16:00:00,-1547978
2020-01-20 17:00:00,-1559648
2020-01-20 18:00:00,-1575839
2020-01-20 19:00:00,-1587340
2020-01-20 20:00:00,-1586731
2020-01-20 21:00:00,-1580347
2020-01-20 22:00:00,-1573733
2020-01-20 23:00:00,-1569799
2020-01-21 00:00:00,-1567119
2020-01-21 01:00:00,-1565891
2020-01-21 02:00:00,-1565031
2020-01-21 03:00:00,-1564103
2020-01-21 04:00:00,-1562764
2020-01-21 05:00:00,-1559640
2020-01-21 06:00:00,-1553753
2020-01-21 07:00:00,-1556653
2020-01-21 08:00:00,-1566040
2020-01-21 09:00:00,-1570290
2020-01-21 10:00:00,-1579513
2020-01-21 11:00:00,-1588601
2020-01-21 12:00:00,-1595977
2020-01-21 13:00:00,-1601873
2020-01-21 14:00:00,-1606828
2020-01-21 15:00:00,-1613803
2020-01-21 16:00:00,-1622704
2020-01-21 17:00:00,-1634306
2020-01-21 18:00:00,-1652013
2020-01-21 19:00:00,-1665676
2020-01-21 20:00:00,-1667201
2020-01-21 21:00:00,-1661024
2020-01-21 22:00:00,-1654090
2020-01-21 23:00:00,-1649524
2020-01-22 00:00:00,-1646890
2020-01-22 01:00:00,-1645667
2020-01-22 02:00:00,-1644694
2020-01-22 03:00:00,-1643739
2020-01-22 04:00:00,-1642315
2020-01-22 05:00:00,-1637338
2020-01-22 06:00:00,-1626368
2020-01-22 07:00:00,-1618948
2020-01-22 08:00:00,-1615505
2020-01-22 09:00:00,-1613765
2020-01-22 10:00:00,-1627717
2020-01-22 11:00:00,-1638187
2020-01-22 12:00:00,-1646104
2020-01-22 13:00:00,-1652750
2020-01-22 14:00:00,-1658535
2020-01-22 15:00:00,-1665129
2020-01-22 16:00:00,-1673969
2020-01-22 17:00:00,-1685390
2020-01-22 18:00:00,-1702326
2020-01-22 19:00:00,-1716735
2020-01-22 20:00:00,-1718342
2020-01-22 21:00:00,-1711955
2020-01-22 22:00:00,-1705290
2020-01-22 23:00:00,-1700676
2020-01-23 00:00:00,-1698183
2020-01-23 01:00:00,-1696989
2020-01-23 02:00:00,-1696083
2020-01-23 03:00:00,-1695150
2020-01-23 04:00:00,-1693800
2020-01-23 05:00:00,-1690552
2020-01-23 06:00:00,-1685313
2020-01-23 07:00:00,-1689284
2020-01-23 08:00:00,-1697221
2020-01-23 09:00:00,-1707226
2020-01-23 10:00:00,-1717476
2020-01-23 11:00:00,-1726159
2020-01-23 12:00:00,-1733230
2020-01-23 13:00:00,-1738916
2020-01-23 14:00:00,-1743664
2020-01-23 15:00:00,-1750240
2020-01-23 16:00:00,-1758948
2020-01-23 17:00:00,-1770505
2020-01-23 18:00:00,-1787094
2020-01-23 19:00:00,-1802499
2020-01-23 20:00:00,-1805717
2020-01-23 21:00:00,-1800668
2020-01-23 22:00:00,-1794316
2020-01-23 23:00:00,-1789851
2020-01-24 00:00:00,-1786986
2020-01-24 01:00:00,-1785602
2020-01-24 02:00:00,-1784615
2020-01-24 03:00:00,-1783620
